WKT,fid,OBJECTID,CODE,school_name,LEVEL,Status,County,DISTRICT,ZONE,SUB_COUNTY,Ward,Long,Lat,Source
MULTIPOINT ((248383.892008592 9857590.78669759)),1703,34723,200720281,PRECIOUS JUNIOR ACADEMY,Primary,,NAIROBI WEST,,,,RIRUTA,36.738813,-1.287409,"Open Data Kenya, School 2007"
MULTIPOINT ((267912.40512639 9859421.35064178)),1704,34724,200720292,BY FAITH ED CENTER PRI,Primary,,NAIROBI SOUTH,,,,KOMAROCK,36.914241,-1.271009,"Open Data Kenya, School 2007"
MULTIPOINT ((247490.185038181 9860523.91160846)),1705,34734,200720319,FRIENDS SCH KABETE PRI,Primary,,NAIROBI NORTH,,,,KITISURU,36.730809,-1.260886,"Open Data Kenya, School 2007"
MULTIPOINT ((257938.338453353 9860872.2980796)),1706,34740,200720345,AGA KHAN PRI SCH,Primary,,NAIROBI NORTH,,,,PARKLANDS/HIGHRIDGE,36.824658,-1.257817,"Open Data Kenya, School 2007"
MULTIPOINT ((250391.856101188 9859173.8157338)),1707,34741,200720347,SIFA CHILDRENS CENTRE,Primary,,NAIROBI WEST,,,,KANGEMI,36.756861,-1.273114,"Open Data Kenya, School 2007"
MULTIPOINT ((263410.471180733 9860795.51298843)),1708,34762,200720413,HURUMA PRI SCH,Primary,,NAIROBI NORTH,,,,HURUMA,36.873811,-1.258552,"Open Data Kenya, School 2007"
MULTIPOINT ((262492.334785324 9861380.87377025)),1709,34772,200720443,STERLUM PRI SCH,Primary,,NAIROBI NORTH,,,,UTALII,36.865568,-1.253253,"Open Data Kenya, School 2007"
MULTIPOINT ((261503.264490226 9860756.89764663)),1710,34776,200720468,REEDEMED GOSPEL CHURCH SCHOOL,Primary,,NAIROBI NORTH,,,,UTALII,36.856679,-1.258887,"Open Data Kenya, School 2007"
MULTIPOINT ((248305.579355375 9857641.0481154)),1711,34778,200720474,OASIS ACADEMY PRI),Primary,,NAIROBI WEST,,,,RIRUTA,36.73811,-1.286954,"Open Data Kenya, School 2007"
MULTIPOINT ((247439.716539092 9858282.19473311)),1712,34784,200720499,HIGHPEAK ACADEMY PRI),Primary,,NAIROBI WEST,,,,RIRUTA,36.730338,-1.281151,"Open Data Kenya, School 2007"
MULTIPOINT ((247888.421873732 9857375.96967633)),1713,34797,200720564,BIGNET PRY SCH,Primary,,NAIROBI WEST,,,,RIRUTA,36.734361,-1.289347,"Open Data Kenya, School 2007"
MULTIPOINT ((250356.202832097 9857298.18050479)),1714,34800,200720584,KCCL PRI SCH,Primary,,NAIROBI WEST,,,,KILIMANI,36.756526,-1.29007,"Open Data Kenya, School 2007"
